合計（全体）,329,6
北海道,82,3
宮城県,1,
栃木県,1,
埼玉県,3,
千葉県,18,
東京都,59,1
神奈川県,33,1
新潟県,5,
石川県,6,
長野県,2,
岐阜県,2,
静岡県,1,
愛知県,50,
三重県,1,
京都府,5,
大阪府,17,
兵庫県,3,
奈良県,1,
和歌山県,13,1
山口県,1,
徳島県,1,
愛媛県,2,
高知県,7,
福岡県,3,
熊本県,6,
大分県,1,
宮崎県,1,
沖縄県,3,
Diamond Princess,542,6
